Optimizer,lr,wd,Avg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
SGD,0.01,0.005,0.24498271185254294,0.002958181779831648,0.003158075734972954,0.00473644537292236,0.06882183790718147,0.05400395425170305,-20.93092557147765,67.0
SGD,0.01,0.01,0.24552166272723486,0.0029331534169614315,0.0031281670089811087,0.004689726997745802,0.06848158144892538,0.053736728514368816,-20.714607820897257,67.0
SGD,0.01,0.05,0.2467999609689864,0.002741315634921193,0.002899029990658164,0.004332724514931517,0.06582343439028016,0.051647215481671685,-19.06159712131389,67.0
SGD,0.01,0.1,0.2526109937637571,0.002521288814023137,0.0026366240344941616,0.0039257001868597844,0.06265540828100782,0.049151933418643844,-17.176972779238067,67.0
SGD,0.05,0,0.2479558369470021,0.23852436244487762,0.1456371545791626,0.16877653875725532,0.41082421880562897,0.3763173560130799,-780.4775466128137,31.0
SGD,0.05,0.0001,0.2482678663162958,0.2381056398153305,0.14550016820430756,0.16873918861756487,0.41077875872245984,0.37617278938754867,-780.3046061333735,31.0
SGD,0.05,0.0005,0.24610415337577699,0.23644733428955078,0.1449708789587021,0.16860161890830733,0.41061127469701475,0.3757100497399567,-779.6676240049898,31.0
SGD,0.05,0.001,0.24708289191836402,0.23441463708877563,0.14435705542564392,0.1684597646249461,0.41043850285389416,0.3751039615626557,-779.0108032279204,31.0
SGD,0.05,0.005,0.24520572405012828,0.2202105075120926,0.14251595735549927,0.1692570821078834,0.41140865584948916,0.3715125275836171,-782.7025823995118,31.0
SGD,0.05,0.01,0.24483606171986413,0.20908775925636292,0.15074321627616882,0.17640981603411787,0.42001168559233903,0.3839077633636377,-815.8215277304586,34.0
SGD,0.05,0.05,0.24591002767048184,0.09991095960140228,0.08283793926239014,0.09716617685276162,0.31171489674502506,0.28265184705725344,-448.90367772534216,35.0
SGD,0.05,0.1,0.2500805173601423,0.0065206256695091724,0.0037479016464203596,0.004394893048980487,0.06629398953887514,0.06119313801820976,-19.349452968002268,32.0
SGD+Mom,1e-05,0,0.25027292872232104,0.1720322221517563,0.13975553214550018,0.1379245920122598,0.37138200281147143,0.3491547684387408,-637.62532421249,35.0
SGD+Mom,1e-05,0.0001,0.24586481139773414,0.17203177511692047,0.13975515961647034,0.13792418540466916,0.3713814553860615,0.349154221566125,-637.6234415177464,35.0
SGD+Mom,1e-05,0.0005,0.24918728404574925,0.17203053832054138,0.13975408673286438,0.13792304561702648,0.3713799208587164,0.3491527611778222,-637.6181640161622,35.0
SGD+Mom,1e-05,0.001,0.24832195327395484,0.1720288246870041,0.13975262641906738,0.13792162788393525,0.37137801211694704,0.3491509228588186,-637.6115995577012,35.0
SGD+Mom,1e-05,0.005,0.24617107709248862,0.17201483249664307,0.13974057137966156,0.13790966113518419,0.3713619004895147,0.34913532384830637,-637.5561905208541,35.0
SGD+Mom,1e-05,0.01,0.24458675157456172,0.17199769616127014,0.13972578942775726,0.1378949117565021,0.37134204146110644,0.3491161434461467,-637.4878972121311,35.0
SGD+Mom,1e-05,0.05,0.24637902729094974,0.17185921967029572,0.13960663974285126,0.13777627775808224,0.37118227026365663,0.3489617912394099,-636.938592156389,35.0
SGD+Mom,1e-05,0.1,0.2494838729737297,0.17168642580509186,0.13945797085762024,0.13762827342131756,0.3709828478802188,0.3487691229038976,-636.2532950953486,35.0
SGD+Mom,5e-05,0,0.2533073614514063,0.007972446270287037,0.008263428695499897,0.01113997167021488,0.10554606420996891,0.0812472791538281,-50.58085237603285,63.0
SGD+Mom,5e-05,0.0001,0.24637299870687818,0.007972358725965023,0.008263340219855309,0.01113985617525981,0.10554551707798777,0.08124685869893856,-50.580317605532166,63.0
SGD+Mom,5e-05,0.0005,0.2489136287144252,0.007972044870257378,0.00826300960034132,0.011139423923507,0.10554346935508137,0.08124529526910611,-50.57831617190999,63.0
SGD+Mom,5e-05,0.001,0.248491574847509,0.00797163974493742,0.008262557908892632,0.011138836805200421,0.10554068791324235,0.08124318926936812,-50.57559766744736,63.0
SGD+Mom,5e-05,0.005,0.2451432432447161,0.007968438789248466,0.008259059861302376,0.011134277145477095,0.10551908427141081,0.08122677710307162,-50.554485303606924,63.0
SGD+Mom,5e-05,0.01,0.24484614341978042,0.007964419201016426,0.008254696615040302,0.011128584753109521,0.10549210753942459,0.08120627189454954,-50.52812810458788,63.0
SGD+Mom,5e-05,0.05,0.24486481575738817,0.007932453416287899,0.008219866082072258,0.011083157981563181,0.10527657850425792,0.08104250361553259,-50.31779080154819,63.0
SGD+Mom,5e-05,0.1,0.2494102924589127,0.007892654277384281,0.008176535367965698,0.011026639113515773,0.10500780501236931,0.08083828549417067,-50.05609432012818,63.0
SGD+Mom,0.0001,0,0.24677671704973494,0.007633659522980452,0.009355234913527966,0.012893673721725426,0.11355031361350539,0.0873117139072971,-58.700931071777546,66.0
SGD+Mom,0.0001,0.0001,0.2503814621577187,0.007633518427610397,0.009355060756206512,0.012893442897050068,0.11354929721072723,0.08731096107269391,-58.699862295854516,66.0
SGD+Mom,0.0001,0.0005,0.24541799984281026,0.0076329708099365234,0.009354418143630028,0.012892600832439316,0.11354558922494222,0.08730825098453775,-58.69596332630019,66.0
SGD+Mom,0.0001,0.001,0.2511854550195119,0.007632281631231308,0.009353596717119217,0.012891519269918971,0.11354082644546397,0.08730474862492396,-58.690955421581144,66.0
SGD+Mom,0.0001,0.005,0.2457547869001116,0.007626777049154043,0.00934707373380661,0.012882963423728556,0.11350314279229698,0.08727710407798864,-58.65133971587161,66.0
SGD+Mom,0.0001,0.01,0.24501347163366893,0.007619908545166254,0.009338932111859322,0.012872278574141988,0.11345606451019702,0.08724255082652657,-58.601866192464136,66.0
SGD+Mom,0.0001,0.05,0.2452701727549235,0.007565205451101065,0.009274076670408249,0.012787166493846534,0.11308035414627306,0.08696681766585666,-58.207775993754304,66.0
SGD+Mom,0.0001,0.1,0.25063586235046387,0.007497490383684635,0.009193778038024902,0.012681693618804899,0.1126130259730414,0.08662366956985774,-57.71941022782113,66.0
SGD+Mom,0.0005,0,0.24639881224859328,0.005415533669292927,0.005066968500614166,0.006733538911415894,0.08205814348019272,0.06286073040183483,-30.17796766814548,59.0
SGD+Mom,0.0005,0.0001,0.2584980480254643,0.005415108520537615,0.005066426005214453,0.0067327646022904315,0.0820534252928568,0.06285717276822625,-30.174382423418095,59.0
SGD+Mom,0.0005,0.0005,0.24670567209758457,0.005413398612290621,0.005064238328486681,0.006729654997794074,0.08203447444699133,0.06284290294129251,-30.159984177603576,59.0
SGD+Mom,0.0005,0.001,0.2559109982990083,0.00541126960888505,0.005061511881649494,0.006725767564602036,0.08201077712472939,0.0628250625330381,-30.14198439057213,59.0
SGD+Mom,0.0005,0.005,0.24551743174356128,0.005394222214818001,0.005039727780967951,0.006694764163211857,0.08182153850430739,0.06268251255703008,-29.998430895320663,59.0
SGD+Mom,0.0005,0.01,0.24609640287974524,0.0053729768842458725,0.005012660287320614,0.00665627954997588,0.08158602545764734,0.06250646711179654,-29.82023751989394,59.0
SGD+Mom,0.0005,0.05,0.24552408854166666,0.005205044988542795,0.0048021916300058365,0.006358138657080145,0.07973793737663487,0.06113756431968888,-28.439770689369503,59.0
SGD+Mom,0.0005,0.1,0.25022022686307394,0.004999908618628979,0.004553487524390221,0.006008754311395884,0.0775161551639133,0.05949048543357932,-26.82203386824085,56.99999999999999
SGD+Mom,0.001,0,0.2451443255893768,0.0037344975862652063,0.0031267020385712385,0.00421289481100604,0.06490681636782103,0.048965650139451415,-18.506755650309994,57.99999999999999
SGD+Mom,0.001,0.0001,0.2528325489589146,0.00373394344933331,0.0031260706018656492,0.004211941932615282,0.06489947559584193,0.048960160467848575,-18.502343585265212,57.99999999999999
SGD+Mom,0.001,0.0005,0.2451850346156529,0.0037317159585654736,0.0031235392671078444,0.004208120041261832,0.06487002421197198,0.04893809263479702,-18.484647273323358,57.99999999999999
SGD+Mom,0.001,0.001,0.24836761232406374,0.0037289317697286606,0.0031203790567815304,0.004203357151695768,0.06483330279798931,0.0489105829480271,-18.46259390453003,57.99999999999999
SGD+Mom,0.001,0.005,0.24849210466657365,0.003706591669470072,0.0030952710658311844,0.004165582416164161,0.06454132332207142,0.04869700318976069,-18.28768744025157,57.99999999999999
SGD+Mom,0.001,0.01,0.24582537393721324,0.0036785106640309095,0.003064277581870556,0.0041191822728672365,0.0641808559686394,0.04843329129146408,-18.07284318279043,57.99999999999999
SGD+Mom,0.001,0.05,0.24557760783604213,0.0034479228779673576,0.0028305365703999996,0.0037782735632137816,0.06146766274402974,0.046425755219412924,-16.494350674290224,57.99999999999999
SGD+Mom,0.001,0.1,0.2489409257495214,0.0031487506348639727,0.002568010240793228,0.0034169667317150844,0.05845482641933927,0.044167157574435664,-14.821409764771106,57.99999999999999
SGD+Mom,0.005,0,0.24615397528996544,0.001370985759422183,0.0007739720749668777,0.001022268190854561,0.03197292903151916,0.02292247566590696,-3.7333571576458215,56.00000000000001
SGD+Mom,0.005,0.0001,0.2504036956363254,0.0013680546544492245,0.0007735674735158682,0.0010214069951543009,0.031959458617978824,0.022912848540215337,-3.7293696063667854,56.00000000000001
SGD+Mom,0.005,0.0005,0.24500848755003915,0.0013563127722591162,0.0007718770648352802,0.0010180359319130992,0.031906675350357315,0.02287530048597283,-3.7137607412329894,56.99999999999999
SGD+Mom,0.005,0.001,0.24844877682034933,0.0013416209258139133,0.0007696057436987758,0.0010139759228342021,0.031842988597714915,0.02283036505621304,-3.6949618847238774,56.99999999999999
SGD+Mom,0.005,0.005,0.24755726920233834,0.0012272491585463285,0.0007456582970917225,0.00098748673939821,0.03142430173286608,0.022550231183046988,-3.5723103465672095,57.99999999999999
SGD+Mom,0.005,0.01,0.24574683582971965,0.0011084122816100717,0.000706962076947093,0.0009712181026057696,0.03116437232812125,0.02245157985505481,-3.4969824931765396,57.99999999999999
SGD+Mom,0.005,0.05,0.24613926145765516,0.0012231160653755069,0.0012229871936142445,0.0018963344704507005,0.04354692262893786,0.038581481907191344,-7.7805024349773095,67.0
SGD+Mom,0.005,0.1,0.24947957387046207,0.0009014323586598039,0.0004339517909102142,0.0004963382881709738,0.02227865095042727,0.01653153044813996,-1.29817029420022,64.0
SGD+Mom,0.01,0,0.24683217018369644,0.0007853993447497487,0.0005814702017232776,0.0009152700125034212,0.030253429764299802,0.020716798312706165,-3.2379288562623483,57.99999999999999
SGD+Mom,0.01,0.0001,0.24533390620398143,0.0007892008288763463,0.0005787575501017272,0.0009163153477785315,0.030270701144481795,0.020740065193353367,-3.242769019783866,57.99999999999999
SGD+Mom,0.01,0.0005,0.26106068066188265,0.0008059862884692848,0.0005690370453521609,0.000922187793290068,0.03036754506525129,0.0208490392384959,-3.2699599098493,60.0
SGD+Mom,0.01,0.001,0.2481299771202935,0.0008301135967485607,0.0005597678828053176,0.0009336183904474207,0.03055516961902553,0.021087798202360772,-3.3228864308493256,60.0
SGD+Mom,0.01,0.005,0.24768570869688003,0.0010566373821347952,0.000639135017991066,0.0012087499880553516,0.034767081960603935,0.026809681953297772,-4.596814474862297,67.0
SGD+Mom,0.01,0.01,0.2449608984447661,0.0010608831653371453,0.0010010538389906287,0.0017745429437307635,0.04212532425668393,0.03665148476294707,-7.216577234234718,66.0
SGD+Mom,0.01,0.05,0.24785606444828093,0.0008451709873043001,0.0005946548189967871,0.0008501322807639955,0.029157027982357794,0.023938623452025354,-2.9363248823542047,66.0
SGD+Mom,0.01,0.1,0.24682876798841688,0.0006708897999487817,0.0004864429065492004,0.0004946217946284907,0.022240094303498145,0.01800995881802936,-1.2902225001985568,65.0
SGD+Mom,0.05,0,0.2466348958393884,0.5341103076934814,0.49413570761680603,0.5897901818065916,0.7679779826313978,0.6741886525296631,-2729.8759125428337,34.0
SGD+Mom,0.05,0.0001,0.24594397771926152,0.030002113431692123,0.06027402728796005,0.05791360932566847,0.2406524658624309,0.2346736674048125,-267.1544820421364,33.0
SGD+Mom,0.05,0.0005,0.25396414787050275,0.02501203492283821,0.043467771261930466,0.042045030969472326,0.20504885020275615,0.1952748188171129,-193.67899917381465,67.0
SGD+Mom,0.05,0.001,0.24704566456022717,0.023567965254187584,0.016832612454891205,0.021731529212748277,0.1474161769031753,0.1360242358166343,-99.62241030875012,33.0
SGD+Mom,0.05,0.005,0.24898862838745117,0.0028908001258969307,0.000678562733810395,0.000901342323841676,0.030022363728422118,0.026849188475322566,-3.173440177649131,34.0
SGD+Mom,0.05,0.01,0.24535398634653244,0.0007367324433289468,0.0014251635875552893,0.0014290526557225159,0.037802812801728335,0.030406705291475197,-5.616870873153571,37.0
SGD+Mom,0.05,0.05,0.24823761743212502,0.00043212069431319833,0.0002938338730018586,0.00023139284325145951,0.015211602257864209,0.010956995768684964,-0.07140668234695946,56.00000000000001
SGD+Mom,0.05,0.1,0.2480691879514664,0.000450959982117638,0.0004055043391417712,0.0002435143684483683,0.0156049469223182,0.011262584478466002,-0.12753237281220775,70.0
Nesterov,1e-05,0,0.2515867891765776,0.1703241914510727,0.13822905719280243,0.13632074928440086,0.3692163989917036,0.34695118549439236,-630.1991316305774,35.0
Nesterov,1e-05,0.0001,0.24853098960149855,0.17032377421855927,0.13822868466377258,0.13632038279751435,0.3692159026877287,0.34695069208900553,-630.1974347047188,35.0
Nesterov,1e-05,0.0005,0.2535648459479922,0.1703222393989563,0.13822737336158752,0.1363189770708183,0.3692139990179385,0.34694888978424593,-630.1909258388675,35.0
Nesterov,1e-05,0.001,0.24902880381024073,0.17032065987586975,0.13822601735591888,0.13631769659356766,0.36921226495549636,0.34694719880978686,-630.1849969092444,35.0
Nesterov,1e-05,0.005,0.24839084867447142,0.17030668258666992,0.13821397721767426,0.13630574197007964,0.36919607523655995,0.34693154297928436,-630.129644015395,35.0
Nesterov,1e-05,0.01,0.2451050319368877,0.17028941214084625,0.13819913566112518,0.13629091814132333,0.369175998869541,0.3469122179613553,-630.0610059842255,35.0
Nesterov,1e-05,0.05,0.24584749009874132,0.17015092074871063,0.13808023929595947,0.1361726805654176,0.3690158269849921,0.34675759259770733,-629.5135364637779,35.0
Nesterov,1e-05,0.1,0.2512092590332031,0.16997796297073364,0.1379317045211792,0.13602505847363505,0.36881575139035894,0.3465644279277988,-628.8300092925163,35.0
Nesterov,5e-05,0,0.24772725786481584,0.008068019524216652,0.00806659460067749,0.010735423343139469,0.10361188803964277,0.0799865221932813,-48.70769253724797,61.0
Nesterov,5e-05,0.0001,0.24586251046922472,0.008067943155765533,0.00806652382016182,0.010735330516694872,0.1036114400860005,0.07998617436292613,-48.70726272761495,61.0
Nesterov,5e-05,0.0005,0.24775638656010704,0.008067617192864418,0.008066161535680294,0.010734849846804567,0.10360912048079825,0.07998442939969742,-48.70503710591793,61.0
Nesterov,5e-05,0.001,0.24963577588399252,0.008067203685641289,0.008065727539360523,0.01073429965223822,0.10360646530134217,0.07998240071835959,-48.70248956759872,61.0
Nesterov,5e-05,0.005,0.2475425705077156,0.008063937537372112,0.008062195032835007,0.010729729025426822,0.10358440531965621,0.07996571447256053,-48.68132642340016,61.0
Nesterov,5e-05,0.01,0.24536293650430346,0.008059844374656677,0.008057789877057076,0.010724020046738949,0.10355684451903191,0.07994483676760489,-48.65489242557371,61.0
Nesterov,5e-05,0.05,0.2454258260272798,0.008027249947190285,0.008022615686058998,0.010678449086782345,0.10333658155165742,0.07977804556161197,-48.44388749416616,61.0
Nesterov,5e-05,0.1,0.24832294857691203,0.007986669428646564,0.007978877052664757,0.010621785138331428,0.10306204509096173,0.0795701298538878,-48.18151925422669,61.0
Nesterov,0.0001,0,0.25099463311452713,0.007567743305116892,0.009238606318831444,0.01274041485467775,0.11287344618942823,0.0867733879624981,-57.99130422257824,66.0
Nesterov,0.0001,0.0001,0.24552774807763478,0.007567604538053274,0.00923843402415514,0.012740190868369161,0.11287245398399541,0.08677266298375312,-57.99026711000205,66.0
Nesterov,0.0001,0.0005,0.24525733978029282,0.007567038759589195,0.009237769991159439,0.012739321991707847,0.11286860498698408,0.08676980563952806,-57.9862439939541,66.0
Nesterov,0.0001,0.001,0.25652833968874006,0.007566328626126051,0.009236912243068218,0.012738189679090265,0.11286358881007756,0.0867661175741929,-57.98100110360392,66.0
Nesterov,0.0001,0.005,0.24989005875965906,0.007560688070952892,0.0092301731929183,0.012729309948728814,0.11282424362134591,0.08673705837504225,-57.93988573325359,66.0
Nesterov,0.0001,0.01,0.24574138247777547,0.007553638890385628,0.009221764281392097,0.012718240151118927,0.11277517524313109,0.08670083382214638,-57.88862980431126,66.0
Nesterov,0.0001,0.05,0.24520588299584767,0.007497528102248907,0.009154791943728924,0.012629981964311459,0.11238319253478903,0.08641139200587045,-57.479972346333675,66.0
Nesterov,0.0001,0.1,0.2467044989267985,0.007428059820085764,0.009071877226233482,0.012520634350009023,0.1118956404423739,0.08605123936013538,-56.97366556944252,66.0
Nesterov,0.0005,0,0.25128920116121806,0.004958039149641991,0.005355282686650753,0.007469040378687026,0.0864236100766858,0.06615223182086342,-33.58352324124471,63.0
Nesterov,0.0005,0.0001,0.24868767980545287,0.0049575865268707275,0.005354716908186674,0.007468248977637928,0.08641903133938686,0.06614870526548916,-33.579858856640136,63.0
Nesterov,0.0005,0.0005,0.24621661125667513,0.004955790471285582,0.005352466367185116,0.007465091820245778,0.08640076284527688,0.06613468285371059,-33.565240429036066,63.0
Nesterov,0.0005,0.001,0.2560796056474958,0.004953544586896896,0.0053496528416872025,0.0074611439408073755,0.08637791350112235,0.06611713379691796,-33.54696076078026,63.0
Nesterov,0.0005,0.005,0.2480591819399879,0.004935602191835642,0.00532720610499382,0.007429634099908591,0.08619532527874461,0.06597691678163105,-33.401062324059986,63.0
Nesterov,0.0005,0.01,0.2483408943055168,0.004913271404802799,0.005299273878335953,0.007390441732396089,0.0859676784169265,0.0658021072340242,-33.21959186948651,63.0
Nesterov,0.0005,0.05,0.2452680686163524,0.004738197661936283,0.005081074312329292,0.007084424359166081,0.08416902256273433,0.06442077342200069,-31.802654966919512,63.0
Nesterov,0.0005,0.1,0.2471727795071072,0.004528071731328964,0.004821067675948143,0.006720244337210694,0.08197709641851615,0.06274945131594259,-30.116410467662273,63.0
Nesterov,0.001,0,0.24695849040197948,0.0032055929768830538,0.0034149799030274153,0.005021093499609651,0.07085967470719613,0.05536145158320356,-22.248917523021657,64.0
Nesterov,0.001,0.0001,0.25180366304185653,0.003205058164894581,0.0034143254160881042,0.005020114871898684,0.0708527689783447,0.055356009967845565,-22.24438623219033,64.0
Nesterov,0.001,0.0005,0.2452706117478628,0.0032029347494244576,0.0034117186442017555,0.005016195517429572,0.07082510513532311,0.055334207664464306,-22.226238641669863,64.0
Nesterov,0.001,0.001,0.2506556473081074,0.003200278850272298,0.003408468095585704,0.005011306179389921,0.07079057973621859,0.055306991443258416,-22.203599784848173,64.0
Nesterov,0.001,0.005,0.24764800828600686,0.0031791175715625286,0.0033825556747615337,0.004972343860666227,0.07051484851197105,0.05508967735168913,-22.023194513649127,64.0
