Optimizer,lr,wd,curv,surrogate,Avg Epoch Time (s),Final Train MSE,Final Val MSE,Test MSE,Test RMSE,Test MAE,Test R²,Dir Acc (%)
Roaree,0.0001,0,10,tanh,0.2773118813832601,0.08369017392396927,0.06125326454639435,0.05765580057023831,0.24011622304675356,0.2155822779793788,-265.9607630858623,34.0
Roaree,0.0001,0.001,10,tanh,0.24736414258442227,0.0836869403719902,0.06125074625015259,0.05765347204680892,0.24011137425538367,0.21557764222347475,-265.9499814405565,34.0
Roaree,0.0001,0.01,10,tanh,0.2483372309851268,0.08366622775793076,0.0612344853579998,0.057637906839400684,0.24007895959329856,0.21554746583537499,-265.8779106409805,34.0
Roaree,0.0001,0.1,10,tanh,0.24571444874718076,0.08344031125307083,0.06105640530586243,0.057468509973964216,0.23972590593001045,0.2152147322191421,-265.09356082684195,34.0
Roaree,0.001,0,10,tanh,0.2846453379070948,0.00669514574110508,0.005910682957619429,0.0073354161158155,0.08564704382414784,0.06660961323568064,-32.964809515476375,53.0
Roaree,0.001,0.001,10,tanh,0.24612091079590812,0.006693627219647169,0.005909267347306013,0.007333682260644565,0.08563692113010933,0.06660171834902304,-32.95678133279683,53.0
Roaree,0.001,0.01,10,tanh,0.24533818260071769,0.006680420599877834,0.005896912422031164,0.007318562189823515,0.08554859548714704,0.06653284335193621,-32.88677162684569,53.0
Roaree,0.001,0.1,10,tanh,0.2507261435190837,0.006549178622663021,0.0057747093960642815,0.00716929526754405,0.08467169106344842,0.06584782744558926,-32.195628479389796,53.0
Roaree,0.01,0,10,tanh,0.24728191845000735,0.001819674507714808,0.0013680027332156897,0.0018343606226822315,0.04282943640397608,0.03498734053943441,-7.493548034413877,62.0
Roaree,0.01,0.001,10,tanh,0.24598768022325304,0.0018168298993259668,0.0013659566175192595,0.0018303517730315503,0.04278261063833705,0.034947445637287064,-7.474986058840603,62.0
Roaree,0.01,0.01,10,tanh,0.2487402946229965,0.0017914962954819202,0.001347697339951992,0.001794802236244769,0.04236510635233634,0.03459130836322108,-7.31038282076074,62.0
Roaree,0.01,0.1,10,tanh,0.24904114859444754,0.0015601408667862415,0.001179747050628066,0.0014784995369761008,0.0384512618385418,0.031217159673312168,-5.8458222886419735,62.0
Roaree,0.0001,0,100,tanh,0.24769657755654956,0.010150514543056488,0.008781857788562775,0.011539785159964164,0.1074233920520301,0.08413577969854327,-52.43208873490472,66.0
Roaree,0.0001,0.001,100,tanh,0.24485696308196536,0.010149994865059853,0.008781692944467068,0.011539769414091712,0.10742331876316107,0.0841357672327906,-52.43201582758084,66.0
Roaree,0.0001,0.01,100,tanh,0.2575337319147019,0.010147026740014553,0.008780133910477161,0.011538563293200119,0.1074177047474024,0.08413220008572192,-52.42643118647953,66.0
Roaree,0.0001,0.1,100,tanh,0.2497880875118195,0.010114109143614769,0.008766358718276024,0.011531861614640884,0.10738650573810885,0.08411697661009146,-52.39540074020292,66.0
Roaree,0.001,0,100,tanh,0.24512808663504465,0.0017768113175407052,0.0014029655139893293,0.0018186838373228666,0.04264602956106074,0.03492666598679846,-7.42096060104417,61.0
Roaree,0.001,0.001,100,tanh,0.25297764369419645,0.0017764975782483816,0.0014027217403054237,0.001818250692342048,0.04264095088459037,0.03492230896177118,-7.4189550315531125,61.0
Roaree,0.001,0.01,100,tanh,0.24649151166280112,0.001773797208443284,0.0014006480341777205,0.0018145053404560406,0.042597010933351186,0.03488468745528137,-7.401613116470422,61.0
Roaree,0.001,0.1,100,tanh,0.25028467935229104,0.001746969297528267,0.0013800051528960466,0.0017774127029470221,0.042159372658366515,0.03451259436708619,-7.22986493647227,61.0
Roaree,0.01,0,100,tanh,0.24813541911897205,0.027030251920223236,0.029007405042648315,0.028111148019377814,0.1676637945991257,0.156576670637875,-129.16163945777487,32.0
Roaree,0.01,0.001,100,tanh,0.24533598385159933,0.026977011933922768,0.028946444392204285,0.02806224549900823,0.16751789605593853,0.15644391502980995,-128.93520856919875,32.0
Roaree,0.01,0.01,100,tanh,0.24660164969308035,0.026499828323721886,0.028399866074323654,0.02762774425467362,0.1662159566788749,0.15525361983599995,-126.92335923917314,31.0
Roaree,0.01,0.1,100,tanh,0.25042005190773614,0.02190253883600235,0.022771965712308884,0.023487000394495614,0.15325469126423377,0.1421947241908657,-107.75068051954348,32.0
Roaree,0.0001,0,1000,tanh,0.2466102441151937,0.010608560405671597,0.01204037293791771,0.017606578489287945,0.13268978291220446,0.10845799515157367,-80.52285775835185,71.0
Roaree,0.0001,0.001,1000,tanh,0.24556163000682044,0.010608299635350704,0.01204040925949812,0.017606747140754213,0.13269041842105334,0.10845882579119305,-80.52363865678159,71.0
Roaree,0.0001,0.01,1000,tanh,0.24559506158980113,0.010606586933135986,0.012039667926728725,0.01760611029190572,0.13268801864488639,0.1084588345269988,-80.52068988748374,71.0
Roaree,0.0001,0.1,1000,tanh,0.25008106231689453,0.010590088553726673,0.012037943117320538,0.017609755522528275,0.13270175402958423,0.10849779448283048,-80.53756821609936,71.0
Roaree,0.001,0,1000,tanh,0.2452099701714894,0.0020173219963908195,0.0021042395383119583,0.0032767168970507317,0.0572426143450029,0.049964616040957956,-14.172017986071417,62.0
Roaree,0.001,0.001,1000,tanh,0.24684831452748132,0.0020170079078525305,0.0021038511767983437,0.0032757701139349065,0.05723434383248319,0.04995707702429766,-14.167634143672602,62.0
